"idRecipe","nameRecipe","difficulte","prix","quantite","preparationTime","totalTime","image"
"221","Pâte brisée au mixer","très facile","bon marché","1 pâte","10 min","10 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"222","Biscuits sablés aux noisettes","très facile","bon marché","6 personnes","20 min","30 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"223","Cake salé de base avec garnitures","facile","bon marché","8 personnes","25 min","1 h 10 min","[""https://assets.afcdn.com/recipe/20190529/93206_w150h150c1cx2144cy1424cxb4288cyb2848.webp"", ""https://assets.afcdn.com/recipe/20190529/93203_w150h150c1cx1728cy2404cxb3456cyb4808.webp"", ""https://assets.afcdn.com/recipe/20190529/93204_w150h150c1cx2464cy1632cxb4928cyb3264.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"224","Ragoût de lentilles vertes","très facile","bon marché","8 personnes","45 min","1 h 25 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"225","Velouté de courgettes","très facile","bon marché","2 personnes","10 min","25 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"226","Blanquette de veau (de Marielle)","très facile","moyen","4 personnes","25 min","1 h 25 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"227","Rôti de porc : recette savoureuse","très facile","bon marché","6 personnes","10 min","1 h 10 min","[""https://assets.afcdn.com/recipe/20160331/66959_w150h150c1cx1500cy1000.webp"", ""https://assets.afcdn.com/recipe/20130122/66960_w150h150c1cx750cy854.webp"", ""https://assets.afcdn.com/recipe/20120916/66881_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"228","Gâteau au chocolat (seulement pour les enfants!)","très facile","bon marché","8 personnes","20 min","50 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"229","Roulade de saumon fumé aux asperges, sauce aux crevettes et au chèvre frais","très facile","moyen","4 personnes","15 min","30 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"230","Gâteau au yaourt simple","très facile","bon marché","8 personnes","10 min","55 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"231","Cake aux fruits confits maison","facile","bon marché","6 personnes","15 min","1 h 15 min","[""https://assets.afcdn.com/recipe/20200928/114368_w150h150c1cx1920cy2880cxb3840cyb5760.webp"", ""https://assets.afcdn.com/recipe/20200928/114367_w150h150c1cx2880cy1920cxb5760cyb3840.webp"", ""https://assets.afcdn.com/recipe/20180208/77430_w150h150c1cx1872cy2808cxb3744cyb5616.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"232","Soupe veloutée à la carotte","très facile","bon marché","4 personnes","15 min","1 h 45 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"233","Gratin de blettes à la provençale","très facile","bon marché","4 personnes","20 min","50 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"234","Moules au roquefort","facile","bon marché","4 bons appétits","15 min","35 min","[""https://assets.afcdn.com/recipe/20200503/110321_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20200503/110322_w150h150c1cx540cy960cxb1080cyb1920.webp"", ""https://assets.afcdn.com/recipe/20180208/77436_w150h150c1cx2784cy1856cxb5568cyb3712.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"235","Pâte à pizza épaisse et moelleuse","facile","bon marché","4 personnes","20 min","20 min","[""https://assets.afcdn.com/recipe/20160531/11743_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20221013/136154_w150h150c1cx3072cy1728cxb6144cyb3456.webp"", ""https://assets.afcdn.com/recipe/20160531/11741_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"236","Lasagnes aux courgettes et au chèvre","très facile","bon marché","2 personnes","15 min","35 min","[""https://assets.afcdn.com/recipe/20170607/38242_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20170607/38243_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20131118/38241_w150h150c1cx1250cy1875.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"237","Gâteau chocolat ultra rapide (micro-ondes)","très facile","bon marché","8 personnes","10 min","15 min","[""https://assets.afcdn.com/recipe/20130627/31106_w150h150c1cx1000cy1052.webp"", ""https://assets.afcdn.com/recipe/20120908/60554_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20130115/24297_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"238","Tarte abricot amandine","facile","bon marché","8 personnes","20 min","50 min","[""https://assets.afcdn.com/recipe/20170529/5707_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20170529/5708_w150h150c1cx3000cy2000.webp"", ""https://assets.afcdn.com/recipe/20100120/1619_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"239","Tarte au chocolat noir","très facile","bon marché","6 personnes","25 min","50 min","[""https://assets.afcdn.com/recipe/20140814/46020_w150h150c1cx900cy1350.webp"", ""https://assets.afcdn.com/recipe/20191128/103127_w150h150c1cx2880cy1920cxb5760cyb3840.webp"", ""https://assets.afcdn.com/recipe/20150313/56557_w150h150c1cx2080cy1170.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"240","Véritable Fondue savoyarde","facile","moyen","4 gros gourmands","30 min","45 min","[""https://assets.afcdn.com/recipe/20130627/14484_w150h150c1cx1250cy1875.webp"", ""https://assets.afcdn.com/recipe/20140126/14801_w150h150c1cx1632cy1224.webp"", ""https://assets.afcdn.com/recipe/20100120/9860_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"241","Gratin de chou-fleur léger","très facile","bon marché","4 personnes","20 min","50 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"242","Muffins à la framboise de Jeanne","très facile","bon marché","12 muffins","","30 min","[""https://assets.afcdn.com/recipe/20130621/62886_w150h150c1cx1504cy1000.webp"", ""https://assets.afcdn.com/recipe/20100120/56396_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20130311/56207_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"243","Cake aux olives et au jambon","facile","bon marché","6 personnes","12 min","57 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"244","Véritables Brownies aux noix","facile","bon marché","40 brownies","20 min","50 min","[""https://assets.afcdn.com/recipe/20130122/61722_w150h150c1cx826cy952.webp"", ""https://assets.afcdn.com/recipe/20131204/56771_w150h150c1cx2000cy1125.webp"", ""https://assets.afcdn.com/recipe/20140324/56357_w150h150c1cx1296cy968.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"245","Madeleines au coeur de nutella","très facile","bon marché","30 madeleines","15 min","23 min","[""https://assets.afcdn.com/recipe/20141009/54008_w150h150c1cx1250cy1807.webp"", ""https://assets.afcdn.com/recipe/20140609/45165_w150h150c1cx1224cy1224.webp"", ""https://assets.afcdn.com/recipe/20140607/45354_w150h150c1cx1632cy1224.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"246","Baguettes inratables d'Andréa","très facile","bon marché","3 baguettes","45 min","1 h 10 min","[""https://assets.afcdn.com/recipe/20230621/143720_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20200318/109113_w150h150c1cx3964cy2642cxb7928cyb5285.webp"", ""https://assets.afcdn.com/recipe/20100120/19495_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"247","Gratin de cabillaud façon Paolita","facile","bon marché","5 personnes","30 min","50 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"248","Pancakes américains","très facile","bon marché","6 personnes","15 min","20 min","[""https://assets.afcdn.com/recipe/20130123/40982_w150h150c1cx826cy1100.webp"", ""https://assets.afcdn.com/recipe/20120311/43297_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20141014/45262_w150h150c1cx480cy270.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"249","Tajine aux citrons confits ou poulet M'chermel (Maroc)","moyenne","moyen","4 personnes","30 min","1 h","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"250","Tournedos de bœuf au Boursin","facile","moyen","4 personnes","5 min","15 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"251","Pancakes rapides","très facile","bon marché","2 personnes","10 min","20 min","[""https://assets.afcdn.com/recipe/20201105/115323_w150h150c1cx690cy1086cxb1380cyb2172.webp"", ""https://assets.afcdn.com/recipe/20180112/76735_w150h150c1cx1872cy1872cxb3744cyb3744.webp"", ""https://assets.afcdn.com/recipe/20200504/110542_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"252","Délice aux framboises et aux fruits de la passion","moyenne","moyen","8 personnes","40 min","50 min","[""https://assets.afcdn.com/recipe/20160915/38236_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20131009/35399_w150h150c1cx1920cy2628.webp"", ""https://assets.afcdn.com/recipe/20120827/61849_w150h150c1cx192cy256.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"253","Poulet rôti simple","très facile","bon marché","4 personnes","1 min","1 h 1 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"254","Gambas à l'armoricaine","facile","moyen","4 personnes","15 min","35 min","[""https://assets.afcdn.com/recipe/20181017/82800_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20130225/29958_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20130428/33747_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"255","Sauté de porc à la crème de moutarde","facile","bon marché","4 personnes","15 min","40 min","[""https://assets.afcdn.com/recipe/20180712/80926_w150h150c1cx1706cy2274cxb3412cyb4549.webp"", ""https://assets.afcdn.com/recipe/20160405/3463_w150h150c1cx1296cy1248.webp"", ""https://assets.afcdn.com/recipe/20131015/3566_w150h150c1cx2160cy1620.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"256","Sablés à la vanille","très facile","bon marché","8 personnes","15 min","30 min","[""https://assets.afcdn.com/recipe/20170821/71237_w150h150c1cx2000cy3000cxb4000cyb6000.webp"", ""https://assets.afcdn.com/recipe/20130923/11304_w150h150c1cx768cy1024.webp"", ""https://assets.afcdn.com/recipe/20130309/18669_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"257","Saumon à l'échalote","très facile","bon marché","4 personnes","10 min","25 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"258","Gratin de courgettes au chèvre","facile","bon marché","2 personnes","10 min","40 min","[""https://assets.afcdn.com/recipe/20200430/110232_w150h150c1cx540cy960cxb1080cyb1920.webp"", ""https://assets.afcdn.com/recipe/20200430/110231_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20130704/34717_w150h150c1cx816cy612.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"259","Filet mignon rôti au cidre","facile","bon marché","4 personnes","1 h","1 h 40 min","[""https://assets.afcdn.com/recipe/20200622/112110_w150h150c1cx2880cy1920cxb5760cyb3840.webp"", ""https://assets.afcdn.com/recipe/20130123/11472_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20200622/112111_w150h150c1cx1920cy2880cxb3840cyb5760.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"260","Tiramisu au café","facile","bon marché","8 personnes","15 min","15 min","[""https://assets.afcdn.com/recipe/20200512/111049_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20200512/111050_w150h150c1cx540cy960cxb1080cyb1920.webp"", ""https://assets.afcdn.com/recipe/20180827/81939_w150h150c1cx1872cy1872cxb3744cyb3744.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"261","Muffins coeur de Nutella","facile","bon marché","12 muffins","10 min","30 min","[""https://assets.afcdn.com/recipe/20130704/38934_w150h150c1cx1250cy1875.webp"", ""https://assets.afcdn.com/recipe/20180713/80974_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20110705/39547_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"262","Crêpes à la règle de 3","très facile","bon marché","15 crêpes","5 min","20 min","[""https://assets.afcdn.com/recipe/20230620/143607_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20130131/6610_w150h150c1cx900cy1085.webp"", ""https://assets.afcdn.com/recipe/20100120/2232_w150h150c1cx170cy256.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"263","Tiramisu aux fruits rouges","très facile","bon marché","8 personnes","20 min","20 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"264","Coulant tiède au chocolat","facile","bon marché","4 personnes","25 min","31 min","[""https://assets.afcdn.com/recipe/20130823/26178_w150h150c1cx2037cy2725.webp"", ""https://assets.afcdn.com/recipe/20200508/110829_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20140125/27071_w150h150c1cx1224cy1224.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"265","Gâteau aux carottes","facile","bon marché","6 personnes","30 min","1 h 30 min","[""https://assets.afcdn.com/recipe/20210216/117995_w150h150c1cx1060cy707cxb2121cyb1414.webp"", ""https://assets.afcdn.com/recipe/20130328/25832_w150h150c1cx996cy1244.webp"", ""https://assets.afcdn.com/recipe/20101103/27279_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"266","Courgettes farcies","moyenne","moyen","4 personnes","20 min","1 h 10 min","[""https://assets.afcdn.com/recipe/20180601/79378_w150h150c1cx2000cy3000cxb4000cyb6000.webp"", ""https://assets.afcdn.com/recipe/20180621/79777_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20130405/4121_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"267","Potage velouté poireaux pommes de terre","très facile","bon marché","4 personnes","10 min","40 min","[""https://assets.afcdn.com/recipe/20130204/37054_w150h150c1cx888cy1264.webp"", ""https://assets.afcdn.com/recipe/20140319/55141_w150h150c1cx160cy160.webp"", ""https://assets.afcdn.com/recipe/20100120/29787_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"268","Lasagnes express","très facile","bon marché","2 personnes","10 min","30 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"269","Soupe de légumes poêlés","très facile","bon marché","4 personnes","15 min","1 h 15 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"270","Tarte aux fraises sans cuisson","facile","bon marché","6 personnes","20 min","20 min","[""https://assets.afcdn.com/recipe/20160401/13042_w150h150c1cx2464cy1632.webp"", ""https://assets.afcdn.com/recipe/20160401/13930_w150h150c1cx1632cy2464.webp"", ""https://assets.afcdn.com/recipe/20160407/7011_w150h150c1cx1224cy1632.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"271","Ailerons de poulet confits au miel","facile","bon marché","4 personnes","15 min","1 h 5 min","[""https://assets.afcdn.com/recipe/20160908/23686_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20100120/16305_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20140129/17831_w150h150c1cx1024cy768.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"272","Bavarois framboise-chocolat","moyenne","bon marché","12 parts","1 h","1 h 10 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"273","Chich taouk (poulet mariné grillé, recette libanaise)","très facile","bon marché","6 personnes","10 min","25 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"274","Tarte légère courgettes, jambon et chèvre gratiné","très facile","bon marché","8 personnes","30 min","1 h 25 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"275","Tarte aux pommes facile et pas chère","facile","bon marché","6 personnes","30 min","1 h 5 min","[""https://assets.afcdn.com/recipe/20200228/108557_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20200228/108555_w150h150c1cx540cy960cxb1080cyb1920.webp"", ""https://assets.afcdn.com/recipe/20161207/34961_w150h150c1cx2464cy1632.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"276","Tiramisu","très facile","bon marché","8 personnes","30 min","30 min","[""https://assets.afcdn.com/recipe/20120804/25871_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20140101/46368_w150h150c1cx1280cy960.webp"", ""https://assets.afcdn.com/recipe/20130427/42961_w150h150c1cx192cy256.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"277","Endives braisées : recette facile","facile","bon marché","3 personnes","5 min","1 h 5 min","[""https://assets.afcdn.com/recipe/20180711/80669_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20130413/44021_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20140106/46876_w150h150c1cx768cy1024.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"278","Cookies faciles","très facile","bon marché","4 personnes","15 min","25 min","[""https://assets.afcdn.com/recipe/20161219/56473_w150h150c1cx2880cy1896.webp"", ""https://assets.afcdn.com/recipe/20160421/49773_w150h150c1cx968cy1296.webp"", ""https://assets.afcdn.com/recipe/20181017/82924_w150h150c1cx1944cy2592cxb3888cyb5184.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"279","Mug cake fondant au chocolat","très facile","bon marché","1 mug","2 min","3 min","[""https://assets.afcdn.com/recipe/20170529/31181_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20170529/31180_w150h150c1cx3000cy2000.webp"", ""https://assets.afcdn.com/recipe/20140929/35099_w150h150c1cx960cy1280.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"280","Tarte tatin","facile","bon marché","6 personnes","30 min","1 h 10 min","[""https://assets.afcdn.com/recipe/20210203/117779_w150h150c1cx1060cy707cxb2121cyb1414.webp"", ""https://assets.afcdn.com/recipe/20160401/63915_w150h150c1cx1632cy2464.webp"", ""https://assets.afcdn.com/recipe/20160401/63916_w150h150c1cx1591cy2403.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"281","Fondant au chocolat maison","très facile","bon marché","8 personnes","15 min","50 min","[""https://assets.afcdn.com/recipe/20230620/143588_w150h150c1cx960cy540cxb1920cyb1080.webp"", ""https://assets.afcdn.com/recipe/20180208/77418_w150h150c1cx2880cy1920cxb5760cyb3840.webp"", ""https://assets.afcdn.com/recipe/20131024/41919_w150h150c1cx1296cy968.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"282","Saucisses aux lentilles","facile","bon marché","4 personnes","10 min","55 min","[""https://assets.afcdn.com/recipe/20230321/141460_w150h150c1cx1051cy706cxb2121cyb1380.webp"", ""https://assets.afcdn.com/recipe/20170317/35951_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20160405/35950_w150h150c1cx1500cy1125.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"283","Sauté de porc au cidre","très facile","bon marché","6 personnes","15 min","1 h 15 min","[""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"284","Tarte poire chocolat","facile","bon marché","6 personnes","10 min","1 h 10 min","[""https://assets.afcdn.com/recipe/20190118/86251_w150h150c1cx2181cy2463cxb5972cyb3990.webp"", ""https://assets.afcdn.com/recipe/20130325/42403_w150h150c1cx256cy192.webp"", ""https://assets.afcdn.com/recipe/20140323/36704_w150h150c1cx768cy1024.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
"285","Tarte aux prunes violettes","très facile","bon marché","6 personnes","5 min","35 min","[""https://assets.afcdn.com/recipe/20160812/32544_w150h150c1cx3000cy2000.webp"", ""https://assets.afcdn.com/recipe/20160812/32926_w150h150c1cx2000cy3000.webp"", ""https://assets.afcdn.com/recipe/20130823/32927_w150h150c1cx1912cy2420.webp"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-04-05_h150.jpg"", ""https://assets.afcdn.com/recipe/20100101/magazine-2020-05-05_h150.jpg""]"
